Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
rh_cuneus <-> rh_temporalpole,1.1325965998240848e-07,6.625627344979971e-09,4.841243935787194e-07,0.01340882464230019,0.0,0.0,0.0,0.0
rh_cuneus <-> right_amygdala,1.1321815159799677e-07,5.019695080240338e-09,3.6678139444602005e-07,0.013322566226022844,0.0,0.0,0.0,0.0
rh_entorhinal <-> rh_middletemporal,1.1320378498805596e-07,-5.071960368467502e-09,3.706003386230365e-07,-0.013326210866803764,-0.0,0.0,0.0,-0.0
left_inf_lat_vent <-> lh_rostralanteriorcingulate,1.127396606446038e-07,-4.532841544477129e-09,3.312077558317687e-07,-0.013284696689931137,-0.0,0.0,0.0,-0.0
left_choroid_plexus <-> rh_frontalpole,1.1262361593335197e-07,-3.3665937633159457e-09,2.4599182526106265e-07,-0.013151176838880166,-0.0,0.0,0.0,-0.0
lh_precuneus <-> right_inf_lat_vent,1.1201682831910665e-07,5.734041854233415e-09,4.189776138766735e-07,0.013366762434092634,0.0,0.0,0.0,0.0
left_hippocampus <-> rh_lingual,1.1185854490260394e-07,-8.673332524764933e-09,6.337470597467025e-07,-0.013473199439819826,-0.0,0.0,0.0,-0.0
lh_precuneus <-> right_hippocampus,1.1177401299054703e-07,5.427884477629302e-09,3.9660716552955694e-07,0.01334921009215402,0.0,0.0,0.0,0.0
lh_temporalpole <-> rh_lingual,1.1168903416573778e-07,-6.737444779359516e-09,4.922947214272275e-07,-0.013413329847894166,-0.0,0.0,0.0,-0.0
left_choroid_plexus <-> rh_lingual,1.1163523023048143e-07,-7.757281967175405e-09,5.668126552609913e-07,-0.013448529425321739,-0.0,0.0,0.0,-0.0
lh_inferiortemporal <-> rh_pericalcarine,1.1116052168501674e-07,1.42378372429414e-09,1.0403368560011203e-07,0.012485641561099744,0.0,0.0,0.0,0.0
rh_superiorfrontal <-> right_hippocampus,1.1102637155713994e-07,-3.772744334169096e-09,2.3062614139418579e-07,-0.015678863120647858,-0.0,0.0,0.0,-0.0
fourth_ventricle <-> rh_isthmuscingulate,1.1067926750277702e-07,5.355997267004786e-10,2.683549990791133e-07,0.001924160616739101,0.0,0.0,0.0,0.0
cc_anterior <-> left_inf_lat_vent,1.0990981999714946e-07,4.423747314364747e-09,2.298855762023766e-07,0.018441072549658863,0.0,0.0,0.0,0.0
lh_rostralanteriorcingulate <-> rh_caudalmiddlefrontal,1.0978988932501455e-07,-1.5861693195682996e-09,2.6872577336455405e-07,-0.005690788119165785,-0.0,0.0,0.0,-0.0
lh_parsorbitalis <-> lh_supramarginal,1.0968506648397066e-07,3.0954856555673473e-09,2.261823730500945e-07,0.013106336495784094,0.0,0.0,0.0,0.0
fourth_ventricle <-> wm_hypointensities,1.094199341311109e-07,6.915105712848143e-09,3.0784811313976137e-07,0.02175600680633109,0.0,0.0,0.0,0.0
cc_anterior <-> lh_fusiform,1.0926923051839241e-07,4.831942502543947e-09,2.5128082457311984e-07,0.018493291692715554,0.0,0.0,0.0,0.0
lh_entorhinal <-> lh_posteriorcingulate,1.0906631032821168e-07,4.370965368426378e-09,2.5149630489510533e-07,0.016715208921134525,0.0,0.0,0.0,0.0
left_pallidum <-> lh_parsorbitalis,1.088100876170821e-07,2.6578025712848776e-09,1.9420154365460203e-07,0.013015585111248885,0.0,0.0,0.0,0.0
lh_cuneus <-> lh_parsopercularis,1.0875448513050539e-07,5.976072360398702e-09,4.366624104889669e-07,0.01337939396748569,0.0,0.0,0.0,0.0
lh_medialorbitofrontal <-> rh_medialorbitofrontal,1.084548028792893e-07,-3.551084593253224e-09,2.5947228628214505e-07,-0.013177921344887907,-0.0,0.0,0.0,-0.0
lh_lateralorbitofrontal <-> lh_parsorbitalis,1.0828900914848521e-07,2.9272812528514796e-09,2.1389193620205947e-07,0.013074527392579461,0.0,0.0,0.0,0.0
lh_bankssts <-> lh_lateraloccipital,1.0817791317844212e-07,2.8198757193623326e-09,2.0604397916191153e-07,0.01305232263496226,0.0,0.0,0.0,0.0
lh_lateraloccipital <-> lh_precentral,1.0800418402120638e-07,2.75013093080778e-09,2.0094783479607549e-07,0.013037019002666454,0.0,0.0,0.0,0.0
cc_mid_posterior <-> lh_entorhinal,1.0794734979948301e-07,3.922368347722634e-09,2.354785205789958e-07,0.015978458475597677,0.0,0.0,0.0,0.0
lh_cuneus <-> lh_postcentral,1.0766167444794366e-07,4.454087819171588e-09,3.254533423218545e-07,0.01327781618851203,0.0,0.0,0.0,0.0
rh_inferiortemporal <-> rh_middletemporal,1.0697595768151212e-07,2.3220031613668023e-09,1.6966519755088506e-07,0.012924056484056467,0.0,0.0,0.0,0.0
rh_inferiortemporal <-> rh_unknown,1.0688186347160195e-07,-1.4481898442988566e-08,7.802113183392556e-07,-0.018326614801499413,-0.0,0.0,0.0,-0.0
lh_pericalcarine <-> rh_middletemporal,1.065653320646074e-07,3.3601738207525317e-09,2.4552272993793397e-07,0.013150195372320544,0.0,0.0,0.0,0.0
lh_cuneus <-> lh_rostralmiddlefrontal,1.0639029487004776e-07,5.133815886594934e-09,3.7512002613996725e-07,0.013330430873852066,0.0,0.0,0.0,0.0
lh_inferiorparietal <-> rh_fusiform,1.0622005381234241e-07,8.033926921976426e-10,5.870266763651409e-08,0.011693762699989476,0.0,0.0,0.0,0.0
rh_middletemporal <-> right_hippocampus,1.0582935396400507e-07,3.1520473695149096e-09,2.3031525044250988e-07,0.013116301873105501,0.0,0.0,0.0,0.0
lh_superiortemporal <-> rh_middletemporal,1.0569726399491342e-07,2.5535048186615083e-09,1.8658066737959255e-07,0.012989602958925517,0.0,0.0,0.0,0.0
cc_central <-> rh_middletemporal,1.0544040906574396e-07,6.503480503358268e-09,4.751993118394836e-07,0.013403729858359291,0.0,0.0,0.0,0.0
rh_fusiform <-> rh_middletemporal,1.0536867411883918e-07,2.5939873816146367e-09,1.8953866595387773e-07,0.012999923444482798,0.0,0.0,0.0,0.0
lh_postcentral <-> lh_unknown,1.0524907590619076e-07,2.247809002102677e-09,1.6424394451466615e-07,0.01290035649941039,0.0,0.0,0.0,0.0
rh_middletemporal <-> rh_superiortemporal,1.051748665886816e-07,2.6725867993921244e-09,1.9528180445018892e-07,0.013019111979019164,0.0,0.0,0.0,0.0
left_putamen <-> lh_cuneus,1.0474051099465916e-07,5.275959008171011e-09,3.855062052821647e-07,0.013339762910690618,0.0,0.0,0.0,0.0
lh_cuneus <-> lh_lateralorbitofrontal,1.0440133691657236e-07,5.425289181699412e-09,3.964175312499943e-07,0.013349053041617499,0.0,0.0,0.0,0.0
left_cerebellum_cortex <-> left_cerebral_white_matter,1.0435617965304255e-07,2.0469651934356135e-09,1.1875869043549897e-07,0.015897685713579312,0.0,0.0,0.0,0.0
lh_fusiform <-> rh_rostralanteriorcingulate,1.0366485195150703e-07,5.016800025757054e-10,1.9802890801972988e-07,0.002411587924732677,0.0,0.0,0.0,0.0
cc_central <-> rh_parahippocampal,1.0327340543186397e-07,5.0565687886549136e-09,3.694756995730252e-07,0.013325145178846537,0.0,0.0,0.0,0.0
rh_parsopercularis <-> right_accumbens_area,1.0318271484407369e-07,-5.663968182856928e-09,4.138574385491735e-07,-0.013362908534162311,-0.0,0.0,0.0,-0.0
rh_supramarginal <-> right_accumbens_area,1.0295833194147e-07,-5.579941772724143e-09,4.077177580733387e-07,-0.013358162694496873,-0.0,0.0,0.0,-0.0
rh_parahippocampal <-> rh_superiorparietal,1.0286824087078652e-07,2.0477530389630902e-09,1.4962616316447585e-07,0.012828429866181292,0.0,0.0,0.0,0.0
left_pallidum <-> rh_parsorbitalis,1.0222610354786285e-07,-7.216433740712786e-09,5.272937076925429e-07,-0.013431078081491821,-0.0,0.0,0.0,-0.0
rh_postcentral <-> right_cerebellum_cortex,1.0203505379639649e-07,3.4076048210367895e-09,2.48988440134697e-07,0.01315736261921394,0.0,0.0,0.0,0.0
right_accumbens_area <-> right_lateral_ventricle,1.018591227763322e-07,-5.725364525382118e-09,4.183435748114973e-07,-0.01336629019800682,-0.0,0.0,0.0,-0.0
rh_precentral <-> right_cerebellum_white_matter,1.0180715009332931e-07,-1.8503528344161522e-09,1.352024340075668e-07,-0.012743263203974436,-0.0,0.0,0.0,-0.0
rh_frontalpole <-> right_ventraldc,1.016023414242622e-07,-3.924833946982974e-09,4.3840095179564247e-07,-0.00875295632461482,-0.0,0.0,0.0,-0.0
left_cerebellum_cortex <-> lh_transversetemporal,1.0152743448684696e-07,2.4496710956851387e-09,1.4903045540687864e-07,0.015403785956706639,0.0,0.0,0.0,0.0
rh_inferiorparietal <-> right_accumbens_area,1.0151057443075747e-07,-5.855498569912874e-09,4.2785226917538006e-07,-0.013373228785454749,-0.0,0.0,0.0,-0.0
cc_mid_posterior <-> right_accumbens_area,1.0148683355332872e-07,-5.5372878337498716e-09,4.0460110039483083e-07,-0.013355699800305956,-0.0,0.0,0.0,-0.0
rh_isthmuscingulate <-> right_cerebellum_white_matter,1.0139532544221101e-07,-1.875472601190513e-09,1.3703789670766723e-07,-0.012755028759145172,-0.0,0.0,0.0,-0.0
