Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
lh_unknown <-> rh_lateralorbitofrontal,2.6637113914512837e-09,-1.545363600714464e-10,1.59696711059415e-08,-0.005950647562729072
lh_temporalpole <-> right_amygdala,2.6623659694668914e-09,3.3720244574126126e-11,3.1073550490173413e-09,0.002572620063164775
left_amygdala <-> rh_lateralorbitofrontal,2.6483910042951267e-09,-2.2688418335092955e-10,2.344604069604938e-08,-0.006783588688801928
lh_posteriorcingulate <-> rh_parstriangularis,2.6388670278478533e-09,5.0721446518508947e-11,5.241516097206522e-09,0.0033278478463048184
lh_posteriorcingulate <-> right_putamen,2.6337123729510074e-09,5.549693239291638e-11,5.735011212207921e-09,0.003526971264555528
lh_superiorparietal <-> wm_hypointensities,2.6263904296496556e-09,-7.77128680175416e-11,8.030789274225227e-09,-0.004310009220097264
left_lateral_ventricle <-> left_vessel,2.6232439867431847e-09,9.91457802249417e-11,1.0245650285811461e-08,0.00489713982140771
lh_parahippocampal <-> lh_superiorfrontal,2.6208110032572624e-09,1.7185627303262478e-10,1.7759497871925088e-08,0.0061908999156081185
rh_transversetemporal <-> right_cerebellum_white_matter,2.6184572173436853e-09,-2.9868271651223676e-11,1.2469862010360534e-08,-0.0013292592378828067
optic_chiasm <-> rh_superiortemporal,2.6153110299132544e-09,4.048695594346941e-11,2.4937254338329373e-09,0.0032405831357419593
lh_posteriorcingulate <-> rh_caudalmiddlefrontal,2.6032238623584283e-09,5.531369752577022e-11,5.7160758589867606e-09,0.0035195616273473737
left_hippocampus <-> lh_superiorfrontal,2.5960047907424456e-09,2.2849559847211852e-10,2.361256312150726e-08,0.0067979224805356725
rh_postcentral <-> right_amygdala,2.591861991280662e-09,-5.618813878591231e-11,5.806439960480275e-09,-0.003554762421291293
lh_lateralorbitofrontal <-> rh_lateralorbitofrontal,2.58224859821945e-09,-1.7310637318086662e-11,1.2657187654071522e-09,-0.0015365763763996324
rh_superiortemporal <-> third_ventricle,2.5714878622633892e-09,4.214523561601576e-11,2.5682724205777285e-09,0.003353303795914893
lh_lateraloccipital <-> rh_supramarginal,2.5654543697895494e-09,3.206504791191452e-11,1.671094621879949e-09,0.0027473899364847724
lh_inferiortemporal <-> rh_medialorbitofrontal,2.552125418363819e-09,-1.3679775381550167e-10,1.4136576890093096e-08,-0.005667653472089929
lh_lingual <-> wm_hypointensities,2.546202121221823e-09,1.7891036035105618e-10,1.848846194468997e-08,0.006280098964219572
rh_parsorbitalis <-> right_ventraldc,2.5419249413630922e-09,4.580151023325111e-10,3.5961890046324165e-08,0.009965105914288685
rh_inferiortemporal <-> third_ventricle,2.540598169129607e-09,3.8885049321137634e-11,2.627431794056498e-09,0.003079410758681755
lh_superiortemporal <-> rh_corpuscallosum,2.5362996996008907e-09,7.406262636053835e-11,7.653576049501941e-09,0.0041953327842960105
rh_middletemporal <-> right_pallidum,2.5293710190835078e-09,-1.3583976390671094e-11,3.88489769761568e-09,-0.0009783274379474714
optic_chiasm <-> rh_inferiortemporal,2.5251858957577935e-09,3.935136494645237e-11,2.7428775354860284e-09,0.0030881066569829092
cc_anterior <-> lh_parahippocampal,2.5215074665777297e-09,1.0885496615625247e-10,1.1248990250320668e-08,0.005122830067400956
cc_anterior <-> left_amygdala,2.521017974485427e-09,1.0131363280570201e-10,1.046967453942338e-08,0.004949450105353554
lh_cuneus <-> lh_insula,2.5089223762212867e-09,-1.5090115956628776e-10,1.5594012222525995e-08,-0.005895955595171416
cc_mid_posterior <-> rh_pericalcarine,2.507549447983273e-09,9.527727687124892e-11,9.845882061672212e-09,0.0048008587663258976
left_cerebellum_cortex <-> rh_parahippocampal,2.507444702806945e-09,-2.923647574557725e-11,3.021275392650927e-09,-0.0022452851094815194
lh_cuneus <-> lh_transversetemporal,2.502033720283476e-09,-9.945709906913705e-11,1.0277821740791911e-08,-0.004904723019093516
lh_superiorparietal <-> rh_corpuscallosum,2.4989657936799112e-09,-7.939288111663203e-11,5.868838293643287e-09,-0.0050030682553766454
cc_central <-> lh_parsopercularis,2.493183859946618e-09,6.789933609121526e-11,7.016666273148762e-09,0.003990166757771831
left_choroid_plexus <-> lh_superiorfrontal,2.4806447552773433e-09,1.3721848825737784e-10,1.749113687551378e-08,0.004991371905743108
