Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
lh_inferiorparietal <-> lh_pericalcarine,3.248444794122689e-08,-2.027670100072344e-11,3.309356473539604e-08,-0.0004705273542633765
fourth_ventricle <-> lh_lateraloccipital,3.2466898384579206e-08,1.8758132475530663e-10,3.202467475153993e-08,0.0044635996795771285
rh_medialorbitofrontal <-> rh_superiortemporal,3.2440729345774786e-08,1.747238678334408e-09,6.69459063600021e-08,0.022707363666102123
lh_supramarginal <-> rh_isthmuscingulate,3.2391195735103434e-08,1.1727187577247613e-09,8.244393545559754e-08,0.012685729485067616
left_cerebellum_white_matter <-> rh_lateralorbitofrontal,3.2275602960966055e-08,-6.301788301342289e-10,4.691138978918509e-08,-0.011072982622082833
left_accumbens_area <-> lh_parsopercularis,3.224533169548842e-08,-9.169788443337135e-10,6.189687230960163e-08,-0.012754085329122911
fourth_ventricle <-> lh_superiortemporal,3.224041663453759e-08,-1.1396115586784185e-10,2.7173964903899438e-08,-0.0030656174600274524
rh_precentral <-> rh_superiortemporal,3.2210351314682565e-08,-1.2593459166041628e-09,6.616359614069655e-08,-0.016534748625547838
fourth_ventricle <-> left_cerebral_white_matter,3.218734232288373e-08,1.2730468516223858e-09,6.425809941666255e-08,0.0171435420731591
brain_stem <-> rh_medialorbitofrontal,3.2183428525757144e-08,1.7591824247008672e-09,7.828530649347428e-08,0.019926106558070335
lh_transversetemporal <-> rh_pericalcarine,3.207075586404462e-08,9.593740653337661e-10,4.351287785429e-08,0.017927910136809347
lh_isthmuscingulate <-> lh_supramarginal,3.20075590328391e-08,7.492314417651004e-10,4.405540183214065e-08,0.013860436078002048
lh_fusiform <-> right_cerebellum_white_matter,3.182128181862786e-08,6.360221033985632e-10,7.338016259251939e-08,0.007627978689689257
fourth_ventricle <-> rh_precentral,3.181792666244169e-08,-1.3692193539604257e-09,8.649481651149016e-08,-0.014189563786541688
left_hippocampus <-> lh_cuneus,3.1765531773348487e-08,-4.919183751974543e-10,2.7568303707965215e-08,-0.013093973553380265
lh_isthmuscingulate <-> lh_lateraloccipital,3.174184794159046e-08,4.490927912527862e-10,2.6550944833558605e-08,0.012286762853814373
left_cerebellum_white_matter <-> rh_precentral,3.1725623680205406e-08,-1.1843929562448385e-09,7.669768286907943e-08,-0.01366118351782675
brain_stem <-> rh_superiortemporal,3.172407022621075e-08,-5.155090742961759e-10,1.0730394774023068e-07,-0.00439464386516445
cc_central <-> lh_rostralmiddlefrontal,3.168224206031104e-08,1.1060608562208015e-09,5.808037904645501e-08,0.016246396857838803
rh_postcentral <-> right_inf_lat_vent,3.159293359789622e-08,-1.0319823138360426e-09,7.794166434338681e-08,-0.01173485084164941
left_ventraldc <-> lh_rostralanteriorcingulate,3.126065081566632e-08,-1.8290841347557664e-09,1.6336081462388129e-07,-0.01055073569378464
rh_caudalanteriorcingulate <-> rh_paracentral,3.1236878259208623e-08,-1.826011219051101e-11,3.8103075338960206e-08,-0.00037960384158061445
left_inf_lat_vent <-> lh_frontalpole,3.120443672477269e-08,-7.424051161596128e-10,5.77390810022992e-08,-0.010959775437969317
lh_caudalmiddlefrontal <-> rh_parahippocampal,3.107088275023483e-08,-7.144618396695817e-12,2.2272558237284923e-08,-0.0002213837014148306
lh_superiorfrontal <-> rh_superiortemporal,3.1052630951161475e-08,1.7498990055571751e-09,7.829339647102492e-08,0.019819137959331268
brain_stem <-> rh_entorhinal,3.1048498980158086e-08,-1.0973346248312225e-09,9.169131228309288e-08,-0.0107908394551583
lh_posteriorcingulate <-> rh_bankssts,3.103413811310575e-08,-4.778599118152631e-10,4.172700634992919e-08,-0.009238112652075355
lh_supramarginal <-> rh_parahippocampal,3.100218080955242e-08,-1.8843615473655575e-10,2.176056735009076e-08,-0.005933022312210593
lh_medialorbitofrontal <-> rh_lateralorbitofrontal,3.0922156814797534e-08,-7.125160892423856e-10,3.9216088772611164e-08,-0.014477300147404278
lh_bankssts <-> right_cerebellum_white_matter,3.091896461506785e-08,3.945181187978683e-10,2.9766308540741223e-08,0.009920913790468586
lh_inferiorparietal <-> rh_pericalcarine,3.083974093094222e-08,-5.808587501957184e-11,1.2785116422924273e-07,-0.0004213665901506397
lh_unknown <-> rh_superiortemporal,3.081268961095668e-08,-5.5735519071420006e-11,1.1643969286157253e-07,-0.00044080713745832823
lh_precuneus <-> rh_pericalcarine,3.080886339154879e-08,4.0302778326491656e-10,3.116915373664784e-08,0.009789557148612224
lh_caudalanteriorcingulate <-> rh_entorhinal,3.080323135572065e-08,-5.675949137246152e-10,4.885142668877976e-08,-0.009644539574651115
left_putamen <-> rh_isthmuscingulate,3.0700043092958895e-08,1.7488979672703719e-09,1.1463142951612968e-07,0.01403255963652436
lh_isthmuscingulate <-> lh_transversetemporal,3.0677274770234414e-08,7.13995584919417e-10,4.2747930394216046e-08,0.013535992399764534
lh_superiorparietal <-> right_cerebellum_white_matter,3.0665301199036216e-08,1.8485844669412277e-11,2.552724717352971e-08,0.0005203286530791366
lh_parsopercularis <-> lh_superiorfrontal,3.066159807916139e-08,1.910319056666121e-09,7.700650407584405e-08,0.021956048883436177
rh_pericalcarine <-> rh_temporalpole,3.0639247949424424e-08,1.9129128915924087e-09,1.826412911710461e-07,0.009929921461614033
lh_pericalcarine <-> lh_superiorparietal,3.056879882540352e-08,4.496582422471783e-10,1.9948810172476013e-08,0.015014227265042727
lh_isthmuscingulate <-> lh_precentral,3.048919630091473e-08,6.490023995540123e-10,3.379448888483111e-08,0.014819271010576953
rh_isthmuscingulate <-> rh_rostralanteriorcingulate,3.0486559250619574e-08,-2.84352842562284e-11,6.616000240681057e-08,-0.00037336243904432425
cc_mid_posterior <-> lh_bankssts,3.047168142780066e-08,9.36418351100399e-10,4.791202716869975e-08,0.016169669702160137
rh_rostralmiddlefrontal <-> right_vessel,3.046933106952395e-08,-6.806420915024084e-10,2.9536255545894575e-08,-0.017215643770622225
lh_postcentral <-> rh_parahippocampal,3.044395454932956e-08,-1.9018381542937345e-10,2.1096738627006808e-08,-0.006115876578266093
lh_paracentral <-> rh_frontalpole,3.044291995652696e-08,-6.132338937937574e-10,4.541700953495963e-08,-0.011065806310008499
left_hippocampus <-> lh_insula,3.044100756934119e-08,-3.333667990013777e-10,4.1348680911933365e-08,-0.006492217386715843
lh_posteriorcingulate <-> rh_parahippocampal,3.039207242193796e-08,-4.4926955119114117e-10,3.395941867602275e-08,-0.010220097642833275
left_hippocampus <-> lh_superiortemporal,3.036631802074617e-08,-1.2165122691969878e-10,2.9844872428177166e-08,-0.0030531212551623203
rh_rostralmiddlefrontal <-> right_inf_lat_vent,3.033854918033554e-08,-4.9163204077894e-10,2.98360919542319e-08,-0.012341372274764834
left_cerebellum_cortex <-> lh_precentral,3.0313166004458075e-08,9.411680674613588e-10,4.5630756443258e-08,0.016918124570557063
fourth_ventricle <-> rh_entorhinal,3.023365493373852e-08,-1.0633162362257854e-09,7.529400317629999e-08,-0.012466482948724362
rh_medialorbitofrontal <-> rh_paracentral,3.016226598655034e-08,-8.455816333439062e-10,5.855914785734569e-08,-0.012333607691614668
lh_rostralanteriorcingulate <-> rh_caudalanteriorcingulate,3.009552116797276e-08,1.8866965950430366e-10,3.7573360185077345e-08,0.003965867846423111
rh_isthmuscingulate <-> rh_temporalpole,2.9982152419210395e-08,8.288794463113971e-10,7.388931064016195e-08,0.00988063246659428
