ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
lh_supramarginal_Surface_Area,4.400797458882234e-08,-1.3148186907995395e-06,8.117109623073406e-05,-0.016196118946984202,-2e-06,0.0,0.0,-2e-06
right_cerebral_white_matter_Thickness,4.1562349126545174e-08,5.65568698493394e-07,2.9662095393856976e-05,0.019060625513171,1e-06,0.0,0.0,1e-06
lh_parstriangularis_Volume,4.108606650804044e-08,-9.139412111508545e-09,4.642868860090429e-06,-0.0019642531062719266,-0.0,0.0,0.0,-0.0
left_amygdala_Thickness,3.836684119503959e-08,2.8159403528194973e-07,1.19789694739e-05,0.023487759802456775,0.0,0.0,0.0,0.0
third_ventricle_Thickness,3.6934032098369234e-08,4.1059378799651e-07,2.1230192485438784e-05,0.01933098244180191,1e-06,0.0,0.0,1e-06
left_cerebellum_white_matter_Surface_Area,3.6222722764172303e-08,6.268477073455516e-07,2.4009733084082584e-05,0.02609719704841148,1e-06,0.0,0.0,1e-06
left_lateral_ventricle_Surface_Area,3.4246319925198015e-08,4.950532511361501e-07,2.1148443415392116e-05,0.023397432477287722,1e-06,0.0,0.0,1e-06
right_vessel_Surface_Area,3.4160972533621984e-08,1.0438957548096832e-06,7.627585629903325e-05,0.01368400127433468,0.0,1.3e-05,0.0,-1.3e-05
rh_unknown_Surface_Area,3.3490589779735395e-08,6.3614101822345e-07,4.648184521142999e-05,0.013682851591079787,0.0,8e-06,0.0,-8e-06
lh_cuneus_Thickness,2.975852289415847e-08,-2.373857223097416e-06,0.00010354935106609988,-0.02292267379680885,-3e-06,0.0,0.0,-3e-06
rh_pericalcarine_Thickness,2.7539011780765562e-08,-2.190963127946809e-06,0.0001047104931231946,-0.02092200927061459,-3e-06,0.0,0.0,-3e-06
lh_inferiorparietal_Thickness,2.4605310244715952e-08,1.7127650005094122e-06,0.000125149102725001,0.01368470181727566,2e-06,0.0,0.0,2e-06
lh_pericalcarine_Thickness,2.378543619707851e-08,-1.9206975679146997e-06,7.52172763121252e-05,-0.025531930199699657,-3e-06,0.0,0.0,-3e-06
lh_parstriangularis_Thickness,2.3729750936264905e-08,-7.344126415330819e-07,5.3662401491405276e-05,-0.013683245413393429,-1e-06,0.0,0.0,-1e-06
lh_insula_Surface_Area,2.1772895080049625e-08,-4.3220681570861e-07,3.0393151030944897e-05,-0.014215855957453285,-1e-06,0.0,0.0,-1e-06
lh_caudalmiddlefrontal_Thickness,1.9541714502427e-08,-5.05076375988762e-08,1.204066015263482e-05,-0.00419127557819585,-0.0,0.0,0.0,-0.0
right_thalamus_Thickness,1.8940844053898725e-08,2.1480619998941763e-07,2.184537965519986e-05,0.00982852750115968,0.0,0.0,0.0,0.0
csf_Surface_Area,1.8848444842354113e-08,-1.1359554250719817e-08,4.221328714040481e-07,-0.026287179250704427,-0.0,0.0,0.0,-0.0
rh_precentral_Thickness,1.4200824385243799e-08,1.1786683994495355e-07,8.61234860343072e-06,0.013669922821034615,0.0,0.0,0.0,0.0
