ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
rh_entorhinal_Thickness,1.7436316394853607e-06,-1.027627072204602e-05,0.00016633959048901903,-0.0617751489007986,-1e-06,-2e-06,-4.3e-05,2e-06
rh_lingual_Volume,1.7055180166032225e-06,-2.9681944666554183e-06,0.00010451426290518705,-0.02839718151705924,-0.0,1e-06,-1.3e-05,-1e-06
right_accumbens_area_Thickness,1.6793570708539484e-06,1.5144853779439175e-05,0.00023747719977141267,0.06377124238281673,3e-06,4e-06,5.9e-05,-1e-06
right_amygdala_Thickness,1.6186829171952712e-06,-8.581307470484128e-06,0.0001683237561496702,-0.05097793613572224,-1e-06,-2e-06,-3.4e-05,1e-06
right_caudate_Thickness,1.565434915173955e-06,1.480660781923556e-05,0.0002544735817772863,0.05818295905703536,1e-06,0.0,6.3e-05,1e-06
lh_isthmuscingulate_Volume,1.560473395053695e-06,5.8587321199298826e-06,0.00045294684160427647,0.012934415780495784,1.7e-05,4.9e-05,-4.5e-05,-3.2e-05
rh_paracentral_Surface_Area,1.4837162318607955e-06,9.191567679929935e-06,0.00013833023463210502,0.06644175285934366,8e-06,4.9e-05,0.0,-4.2e-05
left_pallidum_Thickness,1.3644827431085701e-06,-6.754609008628372e-06,0.00010739680763808204,-0.06288809021667138,-1e-06,0.0,-2.8e-05,-1e-06
rh_superiorparietal_Thickness,1.3065181686688993e-06,3.504782391028402e-05,0.0014625391260765137,0.023963519095118915,-5e-06,0.000281,7.3e-05,-0.000286
right_vessel_Surface_Area,1.3010661342115428e-06,3.714797185988546e-05,0.0007553121825569889,0.04918162436872778,5e-06,-1.7e-05,0.000155,2.2e-05
rh_caudalmiddlefrontal_Thickness,1.214026579032094e-06,5.676627820440523e-06,0.00023546862218275336,0.024106765055024532,1.3e-05,-6e-06,-1.5e-05,1.9e-05
left_amygdala_Thickness,1.2075760634806772e-06,-8.098235057775029e-06,0.00015731458762609682,-0.05147469432445983,-2e-06,0.0,-3e-05,-2e-06
lh_unknown_Thickness,1.2010006518248156e-06,-6.669898238817879e-06,9.674264981875442e-05,-0.06893762859531516,-2e-06,-2e-06,-2.4e-05,1e-06
cc_mid_anterior_Thickness,1.185697031901787e-06,8.961715142954183e-06,0.00017130365421472643,0.05231173886304165,1.2e-05,-1.8e-05,9e-06,2.9e-05
left_vessel_Thickness,1.1846389828220599e-06,-3.3803498168599755e-06,6.899629497136747e-05,-0.04898610798134535,-0.0,0.0,-1.4e-05,-0.0
lh_superiortemporal_Volume,1.1827867401462185e-06,-5.121734213478137e-07,0.00012489452808529312,-0.004100519246172306,1e-06,3.3e-05,-1.6e-05,-3.3e-05
lh_bankssts_Volume,1.1744755106741146e-06,2.1827175604155087e-06,8.705280481760687e-05,0.025070609257170334,-2e-06,-8e-06,1.8e-05,7e-06
rh_temporalpole_Thickness,1.1733128082191168e-06,1.3539008120395773e-05,0.00025927312022858465,0.05221708265644038,3e-06,5e-06,5e-05,-2e-06
