Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
rh_parsopercularis <-> rh_supramarginal,1.4725812686404932e-06,5.0715768137730463e-08,3.7057231287178485e-06,0.01364896317106127,0.0,0.0,0.0,0.0
cc_anterior <-> rh_frontalpole,1.4690626867309306e-06,1.3169143498539035e-08,8.244136261262412e-07,0.01578251251681577,-0.0,0.0,0.0,-0.0
cc_mid_anterior <-> rh_precuneus,1.468604088504537e-06,1.3722575691263523e-07,1.7247933959287352e-05,0.007951459151272693,-0.0,3e-06,0.0,-3e-06
lh_inferiorparietal <-> lh_precentral,1.4678462934314033e-06,3.777319458701337e-08,3.7507411542731575e-06,0.010044082545828347,-0.0,0.0,0.0,-0.0
csf <-> lh_posteriorcingulate,1.467284829310431e-06,5.4828403032540034e-08,3.560733118405104e-06,0.015354942868715311,0.0,0.0,0.0,0.0
lh_frontalpole <-> lh_middletemporal,1.466802614197647e-06,1.3088580645205085e-07,9.346434466333986e-06,0.013988855148080162,0.0,0.0,1e-06,0.0
rh_corpuscallosum <-> right_hippocampus,1.4664664557587342e-06,3.239193448665192e-08,1.7524432603836383e-06,0.018378994214883853,0.0,0.0,0.0,0.0
lh_parsorbitalis <-> lh_unknown,1.4659491705983766e-06,-1.023993953301184e-09,7.482166229071401e-08,-0.012072316500843765,0.0,0.0,-0.0,0.0
lh_precentral <-> rh_superiorparietal,1.4643802234296048e-06,1.1397410519983557e-07,1.1139404445953226e-05,0.010222438853332965,-0.0,0.0,1e-06,-0.0
lh_posteriorcingulate <-> rh_parsorbitalis,1.463955808919244e-06,9.796106254800541e-08,5.073865243851397e-06,0.01926901242445065,0.0,0.0,0.0,0.0
rh_lateraloccipital <-> right_ventraldc,1.4638701106739067e-06,2.8375032918992296e-07,1.415313449907308e-05,0.0200344301756432,0.0,2e-06,0.0,-2e-06
right_lateral_ventricle <-> right_pallidum,1.4630985212571612e-06,1.2079962312979867e-07,8.826642557336345e-06,0.013670307738034349,0.0,0.0,1e-06,0.0
lh_postcentral <-> right_pallidum,1.4615407360068869e-06,5.9125194594626794e-08,3.0768832122019435e-06,0.01915368691660073,0.0,0.0,0.0,0.0
left_accumbens_area <-> rh_bankssts,1.4599587847670533e-06,4.8209670645240186e-08,2.031541410097985e-06,0.023614348651848478,0.0,0.0,0.0,0.0
lh_parahippocampal <-> rh_parsopercularis,1.4577566494307156e-06,-6.617925083014001e-09,6.208099080661365e-07,-0.010491155890849058,0.0,0.0,-0.0,0.0
cc_central <-> right_caudate,1.4561823284086049e-06,-1.1786503594347768e-08,3.0832056642617224e-06,-0.003810449376362738,-0.0,0.0,0.0,-0.0
lh_entorhinal <-> lh_rostralmiddlefrontal,1.4560675198607512e-06,-7.038715461369086e-08,3.724274947803789e-06,-0.01884894808163152,-0.0,0.0,0.0,-0.0
lh_medialorbitofrontal <-> lh_supramarginal,1.4543681460422245e-06,1.3821960571514135e-08,2.420015756405981e-06,0.005688012736163062,-0.0,0.0,0.0,-0.0
left_amygdala <-> lh_rostralmiddlefrontal,1.4543524604946487e-06,5.2679228560527274e-08,4.806222620606639e-06,0.010937872417926547,0.0,0.0,0.0,0.0
lh_corpuscallosum <-> rh_rostralanteriorcingulate,1.4543330579410108e-06,1.029349071730612e-08,1.8622709595193688e-06,0.00549786379208091,-0.0,0.0,0.0,-0.0
rh_frontalpole <-> rh_isthmuscingulate,1.4538231849921553e-06,7.904482356181947e-08,4.111156838863581e-06,0.019180251238294605,0.0,0.0,0.0,0.0
brain_stem <-> rh_lateralorbitofrontal,1.4530725895744585e-06,-8.7156761455095e-08,6.3684104294973035e-06,-0.01366433885346008,0.0,0.0,-0.0,0.0
lh_lateraloccipital <-> right_ventraldc,1.4526766030752703e-06,-3.112264027451043e-08,4.3091181189554394e-06,-0.007205785861220511,0.0,0.0,-0.0,0.0
rh_inferiortemporal <-> rh_transversetemporal,1.4522608652124914e-06,-2.039422101558322e-08,1.0139366797840504e-06,-0.019917463079733005,-0.0,0.0,-0.0,-0.0
lh_caudalanteriorcingulate <-> rh_supramarginal,1.452085631812333e-06,5.417866614901841e-08,3.9587517571706605e-06,0.013651311410729958,0.0,0.0,0.0,0.0
rh_caudalmiddlefrontal <-> rh_supramarginal,1.451840636421567e-06,4.779331844774413e-08,2.4728434281710925e-06,0.019249429064058847,0.0,0.0,0.0,0.0
left_inf_lat_vent <-> right_ventraldc,1.4512375440127618e-06,-1.993379746398048e-07,1.3037052908545592e-05,-0.01527839091610044,-0.0,0.0,-0.0,-0.0
lh_lateraloccipital <-> wm_hypointensities,1.4508075485431523e-06,6.165551922060828e-08,3.5897801082073776e-06,0.017127579287422524,0.0,0.0,0.0,0.0
left_vessel <-> lh_medialorbitofrontal,1.4502757223678773e-06,-2.918120086444228e-08,4.8437774586313016e-06,-0.006012059908628562,-0.0,0.0,0.0,-0.0
lh_parsorbitalis <-> lh_rostralanteriorcingulate,1.4495215298475398e-06,-5.762274477330877e-08,4.210405281977683e-06,-0.01365336760888204,0.0,0.0,-0.0,0.0
left_inf_lat_vent <-> lh_caudalmiddlefrontal,1.4454777106600866e-06,4.855286590554897e-08,3.5597294322405523e-06,0.013601273381404318,-0.0,0.0,0.0,-0.0
lh_medialorbitofrontal <-> third_ventricle,1.444037975778294e-06,-1.6109073710756912e-08,1.1770652249622798e-06,-0.01357050427559176,0.0,0.0,-0.0,0.0
rh_inferiorparietal <-> rh_parsorbitalis,1.4434763917539004e-06,-2.0794798044508763e-07,1.5194438909271587e-05,-0.013676794105061124,0.0,0.0,-1e-06,0.0
cc_mid_anterior <-> rh_superiortemporal,1.4434372759877603e-06,-9.22275230874043e-08,8.74227639491569e-06,-0.01053754691076489,0.0,0.0,-1e-06,0.0
left_caudate <-> rh_inferiortemporal,1.4432325735967257e-06,-2.1049648576796715e-07,1.5777172501995447e-05,-0.013333387327044224,-0.0,0.0,0.0,-0.0
left_putamen <-> rh_fusiform,1.4425093270594094e-06,-5.405599200485051e-08,5.042620024476422e-06,-0.010698606216772074,0.0,0.0,-0.0,-0.0
left_accumbens_area <-> rh_temporalpole,1.442197649015902e-06,-8.088657928686083e-08,4.2725470973075266e-06,-0.018887493225168476,-0.0,0.0,-0.0,-0.0
lh_paracentral <-> rh_posteriorcingulate,1.4395300053372458e-06,1.0104989671455857e-07,6.479519037410187e-06,0.015571245901589217,0.0,0.0,0.0,0.0
rh_caudalanteriorcingulate <-> right_ventraldc,1.43872409595058e-06,8.063362402912192e-08,5.212902550150788e-06,0.015438469941736515,-0.0,0.0,0.0,-0.0
left_accumbens_area <-> right_hippocampus,1.4374940612524302e-06,4.947077582840117e-08,3.736876901428183e-06,0.013203202861974085,0.0,0.0,0.0,0.0
csf <-> lh_parsorbitalis,1.4358598212205739e-06,3.731772406861685e-08,7.130660385848966e-06,0.005226088632162287,0.0,0.0,0.0,0.0
cc_anterior <-> cc_mid_anterior,1.4323702392478784e-06,-7.692987981343063e-08,4.387373968384292e-06,-0.017494504758187906,-0.0,0.0,0.0,-0.0
lh_parahippocampal <-> right_lateral_ventricle,1.4310797187238094e-06,-1.1476222153191458e-09,8.453091598341509e-07,-0.0013417630363524646,-0.0,0.0,0.0,-0.0
left_putamen <-> lh_cuneus,1.4302385635220547e-06,4.2019804523453774e-08,5.357126848005745e-06,0.007829105909629657,0.0,0.0,-0.0,0.0
rh_parsorbitalis <-> rh_pericalcarine,1.4277742321041417e-06,-7.115366329327366e-08,4.481082100647889e-06,-0.01584332276691378,0.0,0.0,-0.0,0.0
lh_precuneus <-> rh_posteriorcingulate,1.4264016213376871e-06,1.0402147197740131e-07,7.6006888733911155e-06,0.013667812954631028,0.0,0.0,0.0,0.0
lh_superiorfrontal <-> rh_transversetemporal,1.4239575971992275e-06,1.0958164433289444e-09,6.461487442840938e-06,0.00016932991881815174,-0.0,0.0,0.0,-0.0
right_pallidum <-> right_thalamus,1.4225546617674806e-06,7.604646342453349e-08,4.741433559780112e-06,0.01600495144628578,0.0,0.0,0.0,0.0
lh_caudalmiddlefrontal <-> rh_rostralanteriorcingulate,1.4222138635430499e-06,2.7774049726758676e-08,3.5159563961690747e-06,0.007877025863659282,0.0,0.0,0.0,0.0
cc_anterior <-> lh_precentral,1.4186375913967131e-06,3.2591492769692136e-07,2.399002306656064e-05,0.013579775602425164,-0.0,0.0,1e-06,-0.0
rh_cuneus <-> wm_hypointensities,1.4183402745129911e-06,9.659851276863381e-08,7.058304667580485e-06,0.013666433085672289,0.0,1e-06,0.0,-1e-06
left_amygdala <-> wm_hypointensities,1.4146700961871093e-06,3.8532179837858076e-08,2.8154870815973416e-06,0.013637358347458647,0.0,0.0,0.0,-0.0
rh_precuneus <-> right_vessel,1.4140918537623804e-06,1.1716607700231527e-07,8.939730465660046e-06,0.013091576048226188,0.0,0.0,0.0,0.0
lh_rostralanteriorcingulate <-> right_hippocampus,1.4138148577835005e-06,1.0485958871745577e-08,1.3648193664899463e-06,0.007627153884598889,0.0,0.0,0.0,-0.0
rh_lateraloccipital <-> rh_pericalcarine,1.4107330346459082e-06,-2.517232466781205e-08,1.4033660221027398e-06,-0.017810195147016372,-0.0,0.0,-0.0,-0.0
lh_fusiform <-> lh_lingual,1.4092875378426722e-06,-4.485310636029565e-08,2.420494626049859e-06,-0.018454312089219792,-0.0,0.0,-0.0,-0.0
lh_lateralorbitofrontal <-> lh_rostralanteriorcingulate,1.407959254298094e-06,7.708132124095213e-08,4.862078695638917e-06,0.015821033701682398,0.0,0.0,0.0,0.0
lh_bankssts <-> right_thalamus,1.4070352785331144e-06,4.8256408624187085e-08,3.1163122224538443e-06,0.015435569191585927,0.0,0.0,0.0,0.0
rh_frontalpole <-> right_accumbens_area,1.4056676601091128e-06,1.0200932633728208e-07,8.147615969257209e-06,0.012504796342671,-0.0,0.0,1e-06,-0.0
lh_insula <-> lh_rostralanteriorcingulate,1.4056495655927988e-06,1.0142903601661785e-08,2.080723962486439e-06,0.004851383436385891,0.0,0.0,0.0,0.0
